,Junc 10,Junc 11,Junc 12,Junc 13,Junc 21,Junc 22,Junc 23,Junc 31,Junc 32
338,130.28,122.37,121.4,122.23,120.13,121.88,123.82,117.13,111.89
339,121.12,111.96,111.78,109.04,102.76,101.86,104.13,99.16,93.08
340,107.82,107.53,112.01,112.8,109.68,111.95,114.03,107.51,102.61
341,128.59,120.45,118.35,119.99,118.94,120.07,122.05,117.15,112.09
342,123.8,115.01,114.84,113.58,107.14,109.52,111.69,82.28,17.35
343,111.03,109.86,114.02,114.84,111.81,114.04,116.11,109.64,104.73
344,129.96,122.01,120.53,121.8,120.21,121.71,123.67,117.88,112.76
345,128.59,120.45,118.35,119.99,118.94,120.07,122.05,117.15,112.09
346,129.96,122.01,120.53,121.8,120.21,121.71,123.67,117.88,112.76
347,120.44,111.19,111.14,103.72,101.06,99.74,88.13,97.35,91.13
348,129.25,121.2,119.63,120.91,119.35,120.82,122.78,117.01,111.89
349,129.96,122.01,120.53,121.8,120.21,121.71,123.67,117.88,112.76
350,130.28,122.37,121.4,122.23,120.13,121.88,123.82,117.13,111.89
351,128.59,120.45,118.35,119.99,118.94,120.07,122.05,117.15,112.09
352,118.23,108.68,108.77,104.73,96.71,94.52,96.95,92.8,86.24
353,124.16,115.41,115.48,114.58,105.82,110.54,112.73,51.01,64.71
354,123.8,115.01,114.84,113.58,107.14,109.52,111.69,82.28,17.35
355,125.47,116.91,116.17,114.78,110.11,108.76,111.11,107.72,101.68
356,130.28,122.37,121.4,122.23,120.13,121.88,123.82,117.13,111.89
357,123.8,115.01,114.84,113.58,107.14,109.52,111.69,82.28,17.35
358,124.39,115.68,115.96,114.89,105.3,110.48,112.68,44.57,60.91
359,120.38,111.12,114.78,115.2,112.01,114.22,116.25,109.11,103.99
360,123.8,115.01,114.84,113.58,107.14,109.52,111.69,82.28,17.35
361,127.54,119.26,117.02,118.67,117.66,118.76,120.74,115.86,110.79
362,119.82,110.48,114.48,115.32,112.34,114.55,116.62,110.16,105.24
363,124.41,115.7,116.97,116.09,99.16,111.28,113.55,98.95,95.94
364,123.8,115.01,114.84,113.58,107.14,109.52,111.69,82.28,17.35
365,123.8,115.01,114.84,113.58,107.14,109.52,111.69,82.28,17.35
366,120.15,110.86,113.38,110.79,83.59,102.91,105.29,83.45,81.91
367,129.25,121.2,119.63,120.91,119.35,120.82,122.78,117.01,111.89
368,115.77,113.27,116.52,117.44,114.63,116.8,118.85,112.44,107.51
369,127.54,119.26,117.02,118.67,117.66,118.76,120.74,115.86,110.79
370,129.96,122.01,120.53,121.8,120.21,121.71,123.67,117.88,112.76
371,124.78,116.12,116.29,115.57,105.4,111.14,113.39,35.77,58.04
372,126.21,117.74,117.06,116.85,112.01,114.2,116.37,94.2,47.12
373,129.96,122.01,120.53,121.8,120.21,121.71,123.67,117.88,112.76
374,128.59,120.45,118.35,119.99,118.94,120.07,122.05,117.15,112.09
375,129.25,121.2,119.63,120.91,119.35,120.82,122.78,117.01,111.89
376,130.28,122.37,121.4,122.23,120.13,121.88,123.82,117.13,111.89
377,123.8,115.01,114.84,113.58,107.14,109.52,111.69,82.28,17.35
378,129.96,122.01,120.53,121.8,120.21,121.71,123.67,117.88,112.76
379,119.46,110.07,110.13,101.6,98.94,97.15,83.33,95.13,88.72
380,117.76,108.14,110.36,107.45,83.03,99.88,102.16,82.39,79.51
381,123.8,115.01,114.84,113.58,107.14,109.52,111.69,82.28,17.35
382,128.59,120.45,118.35,119.99,118.94,120.07,122.05,117.15,112.09
383,130.28,122.37,121.4,122.23,120.13,121.88,123.82,117.13,111.89
384,128.59,120.45,118.35,119.99,118.94,120.07,122.05,117.15,112.09
385,124.59,115.91,114.46,97.24,111.81,112.42,111.26,109.27,103.89
386,120.38,111.12,115.51,116.7,113.86,116.1,118.2,112.32,107.58
387,128.59,120.45,118.35,119.99,118.94,120.07,122.05,117.15,112.09
388,124.86,116.21,115.62,109.67,108.59,106.83,94.99,106.09,99.86
389,127.54,119.26,117.02,118.67,117.66,118.76,120.74,115.86,110.79
390,124.0,115.23,116.96,115.72,95.52,110.05,112.37,95.42,93.12
391,127.54,119.26,117.02,118.67,117.66,118.76,120.74,115.86,110.79
392,120.69,111.48,116.92,117.99,114.77,117.2,119.32,113.27,108.58
393,126.23,117.76,116.89,116.88,111.8,114.01,116.19,90.63,27.83
394,118.13,108.56,113.39,114.14,110.9,113.23,115.31,108.75,103.86
395,122.82,113.89,114.76,113.4,100.89,109.16,111.33,99.23,94.92
396,127.54,119.26,117.02,118.67,117.66,118.76,120.74,115.86,110.79
397,129.96,122.01,120.53,121.8,120.21,121.71,123.67,117.88,112.76
398,125.43,116.85,116.1,112.82,110.97,110.81,105.73,108.26,102.61
399,62.52,45.6,36.29,37.55,37.98,37.78,39.57,34.54,28.71
400,127.54,119.26,117.02,118.67,117.66,118.76,120.74,115.86,110.79
401,129.25,121.2,119.63,120.91,119.35,120.82,122.78,117.01,111.89
402,122.64,113.68,113.36,111.27,105.82,105.51,107.72,102.35,96.48
403,129.96,122.01,120.53,121.8,120.21,121.71,123.67,117.88,112.76
404,70.48,54.59,46.94,30.97,45.93,45.27,43.99,42.38,36.39
405,125.7,117.16,115.15,116.45,115.02,116.4,118.35,112.66,107.51
406,129.25,121.2,119.63,120.91,119.35,120.82,122.78,117.01,111.89
407,120.71,111.5,115.54,116.37,113.38,115.59,117.66,111.2,106.28
408,129.96,122.01,120.53,121.8,120.21,121.71,123.67,117.88,112.76
409,117.46,107.8,108.41,102.96,92.94,89.35,92.0,88.68,81.53
410,118.96,109.5,114.78,115.87,112.72,115.11,117.23,111.21,106.51
411,122.06,113.02,113.7,111.77,100.54,106.36,108.55,31.67,49.77
412,130.28,122.37,121.4,122.23,120.13,121.88,123.82,117.13,111.89
413,123.31,114.45,112.14,113.46,112.12,113.43,115.37,109.74,104.57
414,109.51,109.29,113.85,114.63,111.48,113.76,115.84,109.32,104.42
415,120.4,111.14,112.27,110.53,95.29,105.49,107.67,93.94,89.79
416,121.53,112.42,112.01,106.92,104.34,103.94,96.8,100.85,94.95
417,127.54,119.26,117.02,118.67,117.66,118.76,120.74,115.86,110.79
418,127.54,119.26,117.02,118.67,117.66,118.76,120.74,115.86,110.79
419,123.8,115.01,114.84,113.58,107.14,109.52,111.69,82.28,17.35
420,129.25,121.2,119.63,120.91,119.35,120.82,122.78,117.01,111.89
421,113.02,111.22,114.98,115.85,112.92,115.12,117.18,110.74,105.82
422,126.47,118.04,115.67,117.32,116.36,117.42,119.39,114.55,109.47
423,123.8,115.01,114.84,113.58,107.14,109.52,111.69,82.28,17.35
424,121.39,112.27,112.85,108.09,98.73,94.82,97.58,95.08,87.8
425,123.8,115.01,114.84,113.58,107.14,109.52,111.69,82.28,17.35
426,130.28,122.37,121.4,122.23,120.13,121.88,123.82,117.13,111.89
427,126.33,117.88,116.95,117.03,112.14,114.33,116.51,92.17,33.41
428,129.25,121.2,119.63,120.91,119.35,120.82,122.78,117.01,111.89
429,124.97,116.34,116.16,115.1,109.1,111.42,113.59,86.74,29.8
430,120.97,111.79,111.92,108.48,101.22,99.69,102.04,97.46,91.16
431,125.28,116.69,116.94,113.55,105.89,102.49,105.21,102.96,95.85
432,114.53,111.92,115.34,115.79,112.66,114.85,116.87,109.75,104.63
433,128.59,120.45,118.35,119.99,118.94,120.07,122.05,117.15,112.09
434,129.25,121.2,119.63,120.91,119.35,120.82,122.78,117.01,111.89
435,57.42,39.83,40.7,41.39,38.8,40.84,42.81,35.87,30.7
436,129.25,121.2,119.63,120.91,119.35,120.82,122.78,117.01,111.89
437,125.55,117.0,116.96,114.24,107.6,104.93,107.51,104.87,98.17
438,129.25,121.2,119.63,120.91,119.35,120.82,122.78,117.01,111.89
439,130.28,122.37,121.4,122.23,120.13,121.88,123.82,117.13,111.89
440,128.59,120.45,118.35,119.99,118.94,120.07,122.05,117.15,112.09
441,128.59,120.45,118.35,119.99,118.94,120.07,122.05,117.15,112.09
442,127.54,119.26,117.02,118.67,117.66,118.76,120.74,115.86,110.79
443,120.79,111.58,109.44,110.34,108.57,110.11,112.02,105.52,100.23
444,68.44,52.29,45.32,40.9,41.02,39.17,32.31,37.19,30.76
445,118.99,109.54,109.3,101.99,99.41,98.08,86.66,95.7,89.47
446,122.5,113.53,114.99,113.49,95.78,108.12,110.36,95.23,91.79
447,123.8,115.01,114.84,113.58,107.14,109.52,111.69,82.28,17.35
448,129.25,121.2,119.63,120.91,119.35,120.82,122.78,117.01,111.89
449,123.8,115.01,114.84,113.58,107.14,109.52,111.69,82.28,17.35
